rank,algo,iqm,iqm_ci_lo,iqm_ci_hi,median,mean,opt_gap
1,SAIL-PREF-D,0.9536157247835365,0.8569518345415232,0.9941888031202526,0.9735367007206246,0.9365236584100771,0.06347634158992306
2,PAIL-PREF-D,0.8422215718374959,0.8422215718374959,0.8422215718374959,0.8422215718374959,0.8422215718374959,0.1577784281625041
3,PAIL-TAC-D,0.8400313694728639,0.8085454816378108,0.8715172573079171,0.8400313694728639,0.8400313694728639,0.15996863052713606
4,SAIL-TAC-D,0.8081967962988866,0.7491088868320412,0.8723017447557687,0.8081967962988866,0.8098691426288989,0.19013085737110114
5,PAIL-QPREF,0.702930860701982,0.6033211191434414,0.8367356598940567,0.702930860701982,0.7114796251103657,0.28852037488963445
6,PAIL,0.5489185591102193,0.5475977059921087,0.55023941222833,0.5489185591102193,0.5489185591102193,0.4510814408897807
7,SAIL-QPREF,0.2795355910847849,0.26861971688438724,0.553771559266743,0.2795355910847849,0.345365614580175,0.654634385419825
8,SAIL,0.12700470462930924,0.0,0.2540094092586185,0.12700470462930924,0.12700470462930924,0.8729952953706908
