,SAIL,PAIL,SAIL-PREF-D,SAIL-TAC-D,SAIL-QPREF,PAIL-PREF-D,PAIL-TAC-D,PAIL-QPREF
SAIL,False,False,False,False,False,False,False,False
PAIL,False,False,False,False,False,False,False,False
SAIL-PREF-D,False,False,False,False,False,False,False,False
SAIL-TAC-D,False,False,False,False,False,False,False,False
SAIL-QPREF,False,False,False,False,False,False,False,False
PAIL-PREF-D,False,False,False,False,False,False,False,False
PAIL-TAC-D,False,False,False,False,False,False,False,False
PAIL-QPREF,False,False,False,False,False,False,False,False
