,SAIL,PAIL,SAIL-PREF-D,SAIL-TAC-D,SAIL-QPREF,PAIL-PREF-D,PAIL-TAC-D,PAIL-QPREF
SAIL,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAIL,1.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0
SAIL-PREF-D,1.0,1.0,0.5,0.9333333333333333,1.0,0.8,0.9,0.95
SAIL-TAC-D,1.0,1.0,0.06666666666666667,0.5,1.0,0.3333333333333333,0.3333333333333333,0.75
SAIL-QPREF,1.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0
PAIL-PREF-D,1.0,1.0,0.2,0.6666666666666666,1.0,0.5,0.5,1.0
PAIL-TAC-D,1.0,1.0,0.1,0.6666666666666666,1.0,0.5,0.5,0.875
PAIL-QPREF,1.0,1.0,0.05,0.25,1.0,0.0,0.125,0.5
