,SAIL,PAIL,SAIL-PREF-D,SAIL-TAC-D,SAIL-QPREF,PAIL-PREF-D,PAIL-TAC-D,PAIL-QPREF
SAIL,0.0,-3.3218536298876473,-7.853806570209343,-5.924689110236432,-1.4536995138734015,,-5.4492176465910465,-4.4182166674794034
PAIL,3.3218536298876473,0.0,-6.000369137566495,-5.1859530281081865,1.6904755392896282,,-9.237693761781314,-1.6735089484501577
SAIL-PREF-D,7.853806570209343,6.000369137566495,0.0,1.839222835647341,5.569862094719398,,1.427581466455455,2.4596213808367007
SAIL-TAC-D,5.924689110236432,5.1859530281081865,-1.839222835647341,0.0,4.055761446600085,,-0.5338891144462189,1.0333118580802048
SAIL-QPREF,1.4536995138734015,-1.6904755392896282,-5.569862094719398,-4.055761446600085,0.0,,-4.039767575360719,-2.8984350015507516
PAIL-PREF-D,,,,,,0.0,,
PAIL-TAC-D,5.4492176465910465,9.237693761781314,-1.427581466455455,0.5338891144462189,4.039767575360719,,0.0,1.2900034455745932
PAIL-QPREF,4.4182166674794034,1.6735089484501577,-2.4596213808367007,-1.0333118580802048,2.8984350015507516,,-1.2900034455745932,0.0
