setting,env,algo,n_seeds,seeds_present,missing_seeds,has_nan_curve,min_final_step,max_final_step,status
online,HalfCheetah-v2,SAIL,4,"[1, 2, 3, 5]",[4],False,1000,1000000,MISSING_SEEDS:4
online,HalfCheetah-v2,PAIL,3,"[2, 3, 5]","[1, 4]",False,1000,1000000,"MISSING_SEEDS:1,4"
online,HalfCheetah-v2,SAIL-PREF-D,5,"[1, 2, 3, 4, 5]",[],False,1000,1000000,OK
online,HalfCheetah-v2,SAIL-TAC-D,2,"[3, 5]","[1, 2, 4]",False,1000,1000000,"MISSING_SEEDS:1,2,4"
online,HalfCheetah-v2,SAIL-QPREF,2,"[2, 3]","[1, 4, 5]",False,1000,1000000,"MISSING_SEEDS:1,4,5"
online,HalfCheetah-v2,PAIL-PREF-D,4,"[1, 2, 3, 4]",[5],False,1000,1000000,MISSING_SEEDS:5
online,HalfCheetah-v2,PAIL-TAC-D,1,[5],"[1, 2, 3, 4]",False,1000,1000000,"MISSING_SEEDS:1,2,3,4"
online,HalfCheetah-v2,PAIL-QPREF,2,"[3, 5]","[1, 2, 4]",False,1000,1000000,"MISSING_SEEDS:1,2,4"
