,SAIL,PAIL,SAIL-PREF-D,SAIL-TAC-D,SAIL-QPREF,PAIL-PREF-D,PAIL-TAC-D,PAIL-QPREF
SAIL,0.0,-4.319257348779558,0.030297726520162764,-3.4324364448343734,0.5856198272546741,-7.656119242132939,,-3.875057277830956
PAIL,4.319257348779558,0.0,0.33065397243856165,-1.5901497427106286,7.4398510134926195,-4.193284663977542,,-0.09184093592185276
SAIL-PREF-D,-0.030297726520162764,-0.33065397243856165,0.0,-0.5799642772079052,0.011942621625022307,-0.6314177718621886,,-0.30712138488630697
SAIL-TAC-D,3.4324364448343734,1.5901497427106286,0.5799642772079052,0.0,2.796753719357536,0.32052700413903296,,1.269637304274032
SAIL-QPREF,-0.5856198272546741,-7.4398510134926195,-0.011942621625022307,-2.796753719357536,0.0,-10.25295573599145,,-5.8259974794125045
PAIL-PREF-D,7.656119242132939,4.193284663977542,0.6314177718621886,-0.32052700413903296,10.25295573599145,0.0,,3.5882128178695085
PAIL-TAC-D,,,,,,,0.0,
PAIL-QPREF,3.875057277830956,0.09184093592185276,0.30712138488630697,-1.269637304274032,5.8259974794125045,-3.5882128178695085,,0.0
