setting,env,algo_a,algo_b,iqm_a,iqm_b,iqm_diff_a_minus_b,mean_a,mean_b,mean_diff_a_minus_b,std_a,std_b,n_seeds_a,n_seeds_b,welch_t,p_value_raw,p_value_holm,significant_holm005,cohen_d,cohen_d_size,poi_a_beats_b,interpretation
offline,HalfCheetah-v2,SAIL-QPREF,PAIL-QPREF,0.2795,0.7029,-0.4234,0.7263,0.8521,-0.1258,0.0478,0.0385,4,4,-4.099,0.00699,0.00699,True,-2.898,very_large,0.0,"PAIL-QPREF significantly better (p=0.0070, d_size=very_large)"
offline,HalfCheetah-v2,PAIL-PREF-D,PAIL-TAC-D,0.8422,0.84,0.0022,,,,,,0,0,,,,False,NA,NA,0.5,no significant difference
offline,HalfCheetah-v2,PAIL-PREF-D,PAIL-QPREF,0.8422,0.7029,0.1393,,,,,,0,0,,,,False,NA,NA,1.0,no significant difference
offline,HalfCheetah-v2,PAIL-TAC-D,PAIL-QPREF,0.84,0.7029,0.1371,0.8963,0.8521,0.0442,0.0153,0.0385,2,4,1.9988,0.11632,0.23263,False,1.29,large,0.875,no significant difference
online,HalfCheetah-v2,SAIL,PAIL,0.7326,0.8241,-0.0915,0.7031,0.8083,-0.1052,0.0276,0.0184,4,3,-6.0387,0.00182,0.0472,True,-4.319,very_large,0.0,"PAIL significantly better (p=0.0472, d_size=very_large)"
online,HalfCheetah-v2,SAIL,SAIL-PREF-D,0.7326,0.8809,-0.1483,0.7031,0.6934,0.0098,0.0276,0.4256,4,5,0.0512,0.96163,1.0,False,0.03,negligible,0.2,no significant difference
online,HalfCheetah-v2,SAIL,SAIL-TAC-D,0.7326,0.9238,-0.1913,0.7031,0.9162,-0.213,0.0276,0.1145,4,2,-2.593,0.22302,1.0,False,-3.432,very_large,0.0,no significant difference
online,HalfCheetah-v2,SAIL,SAIL-QPREF,0.7326,0.71,0.0226,0.7031,0.6888,0.0143,0.0276,0.0099,4,2,0.9238,0.40843,1.0,False,0.586,medium,0.75,no significant difference
online,HalfCheetah-v2,SAIL,PAIL-PREF-D,0.7326,0.901,-0.1684,0.7031,0.8968,-0.1936,0.0276,0.0227,4,4,-10.8274,5e-05,0.00131,True,-7.656,very_large,0.0,"PAIL-PREF-D significantly better (p=0.0013, d_size=very_large)"
online,HalfCheetah-v2,SAIL,PAIL-TAC-D,0.7326,0.9355,-0.2029,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
online,HalfCheetah-v2,SAIL,PAIL-QPREF,0.7326,0.8243,-0.0917,0.7031,0.8104,-0.1072,0.0276,0.0278,4,2,-4.4641,0.04401,0.39607,False,-3.875,very_large,0.0,no significant difference
online,HalfCheetah-v2,PAIL,SAIL-PREF-D,0.8241,0.8809,-0.0568,0.8083,0.6934,0.115,0.0184,0.4256,3,5,0.603,0.57882,1.0,False,0.331,small,0.2,no significant difference
online,HalfCheetah-v2,PAIL,SAIL-TAC-D,0.8241,0.9238,-0.0997,0.8083,0.9162,-0.1078,0.0184,0.1145,3,2,-1.3201,0.40726,1.0,False,-1.59,large,0.0,no significant difference
online,HalfCheetah-v2,PAIL,SAIL-QPREF,0.8241,0.71,0.1141,0.8083,0.6888,0.1195,0.0184,0.0099,3,2,9.3962,0.0026,0.06488,False,7.44,very_large,1.0,no significant difference
online,HalfCheetah-v2,PAIL,PAIL-PREF-D,0.8241,0.901,-0.0769,0.8083,0.8968,-0.0884,0.0184,0.0227,3,4,-5.6886,0.00248,0.01489,True,-4.193,very_large,0.0,"PAIL-PREF-D significantly better (p=0.0149, d_size=very_large)"
online,HalfCheetah-v2,PAIL,PAIL-TAC-D,0.8241,0.9355,-0.1114,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
online,HalfCheetah-v2,PAIL,PAIL-QPREF,0.8241,0.8243,-0.0002,0.8083,0.8104,-0.002,0.0184,0.0278,3,2,-0.0904,0.938,1.0,False,-0.092,negligible,0.333,no significant difference
