episode,timestep,mean_return,min_return,max_return,is_best,wall_time
20,20000,393.1026,315.8097,481.6482,1,2026-05-02 11:07:53
40,40000,611.7410,399.4032,1082.3996,1,2026-05-02 11:11:08
60,60000,2340.7515,1273.6743,2746.5226,1,2026-05-02 11:14:27
80,80000,2492.9243,858.4003,2825.8468,1,2026-05-02 11:17:51
100,100000,2705.6463,2605.6122,2775.8742,1,2026-05-02 11:21:16
